Vendor,Street Address,City,Zip Code,Phone,Location
CVS #0085,972 SILVER LN,EAST HARTFORD,6108,8605690888,
CVS #0942,542 PROVIDENCE RD,BROOKLYN,6234,8607790523,
DEFLORIO'S VARIETY,115 ELY AVE,NORWALK,6854,2038662590,
BIG Y WORLD CLASS MARKET #48,65 PALOMBA DR,ENFIELD,6082,8607495514,
STOP & SHOP #644,44 LAKE AVE EXT #46,DANBURY,6811,2037978901,
CVS #10367,930 WHITE PLAINS RD,TRUMBULL,6611,2032612542,
STOP & SHOP #630,44 FENN RD,NEWINGTON,6111,8606678380,
CVS #1080,817 BANK ST,NEW LONDON,6320,8604435359,
CARIBBEAN AMERICAN VARIETY,407 CENTER ST,MERIDEN,6450,2032351502,
LOS CHICOS ALEGRES,317 E MAIN ST,WATERBURY,6702,2037570657,
CVS #0954,311 MAIN ST,TERRYVILLE,6786,8603142890,
CVS #0388,613 BOSTON POST RD,MADISON,6443,2032459438,
ANSONIA XPRESS MART,180 WAKELEE AVE,ANSONIA,6401,2037343550,
POST ROAD EXPRESS,983 BOSTON POST RD,WEST HAVEN,6516,2039323934,
PRICERITE OF CROMWELL,136 BERLIN RD,CROMWELL,6416,8606350004,
TARGET T-1956,120 HAWLEY LN,TRUMBULL,6611,2034550102,
CVS #1152,58 PENNSYLVANIA AVE,NIANTIC,6357,8606910380,
BIG Y WORLD CLASS MARKET #44,1040 ELM ST,ROCKY HILL,6067,8607210692,
BIG Y WORLD CLASS MARKET #55,830 BOSTON POST RD,GUILFORD,6437,2034533267,
PIONEER FOOD CENTER,346  BALDWIN STREET,WATERBURY,6706,2035283502,
STOP & SHOP #2611,11 E HIGH ST,EAST HAMPTON,6424,8602672039,
STG GROCERY,441 BARBOUR ST,HARTFORD,6120,8605248693,
BIG Y WORLD CLASS MARKET #32,85 BRIDGE ST,NAUGATUCK,6770,2037294124,
CVS #2259,215 WHALLEY AVE,NEW HAVEN,6511,2034014660,
BIG Y WORLD CLASS MARKET #53,255 W MAIN ST,AVON,6001,8606781322,
LA MARQUETA MEAT & PRODUCE,54 MYRTLE AVE,STAMFORD,6902,2032980595,
CVS #1101,16 MAIN ST,EAST HARTFORD,6118,8605691418,
BIG Y WORLD CLASS MARKET #88,533 S BROAD ST,MERIDEN,6450,2032375244,
CVS #0865,839 E MAIN ST,MERIDEN,6450,2032372665,
CVS #1898,255 SOUND BEACH AVE,OLD GREENWICH,6870,2036981457,
CVS #1219,229 HOPE ST,STAMFORD,6906,2039211317,
DAILY NEEDS LLC,1485 EAST MAIN STREET,WATERBURY,6705,2037571088,
STOP & SHOP #663,1360 EAST TOWN RD,MILFORD,6460,2038771841,
G&C GROCERY LLC,760 PARK ST,HARTFORD,6106,8604617766,
CVS #1109,7 DURANT AVE,BETHEL,6801,2037941745,
SHOPRITE OF ORANGE #325,259 BULL HILL LANE,ORANGE,6477,2037950628,
CVS #2097,279 BOSTON POST RD,ORANGE,6477,2037990177,
UPTOWN NEWS & VARIETY,4200 MAIN ST,BRIDGEPORT,6606,2035439196,
WATERBURY QUICK MART,467 WOLCOTT ST,WATERBURY,6705,2035730469,
STOP & SHOP #681,1235 FARMINGTON AVE,WEST HARTFORD,6107,8605215010,
SHOPRITE OF ENFIELD,40 HAZARD AVE,ENFIELD,6082,8607451621,
CARUSO'S MARKET,118 OAK ST,WATERBURY,6704,2037566521,
CVS #1097,661 MAIN ST,TORRINGTON,6790,8604822415,
BIG Y WORLD CLASS MARKET #56,1 KENT RD,NEW MILFORD,6776,8603552628,
WALMART SUPERCENTER #2331,155 WATERFORD PKWY N,WATERFORD,6385,8604473646,
CVS #556,1657 ROUTE 12,GALES FERRY,6335,8604640288,
PRICERITE OF HAMDEN,1869 DIXWELL AVENUE,HAMDEN,6514,2032810036,
CVS #10462,720 BRANCHVILLE ROAD,RIDGEFIELD,6877,2035447094,
BRAVO SUPERMARKET,685 MAPLE AVE,HARTFORD,6114,8602931354,
MARIBEL GROCERY,235 MADISON AVENUE,BRIDGEPORT,6604,2033336220,
GRADE A SHOPRITE #398,875 BRIDGEPORT AVE,SHELTON,6484,2032259224,
CVS #1153,1875 BOSTON AVE,BRIDGEPORT,6610,2033308284,
N J MINI MARKET,335 BROAD ST,NEW BRITAIN,6053,8605050387,
CAYEY MARKET,155 KIMBERLY AVE,NEW HAVEN,6519,2037890632,
MY FAIR HAVEN PHARMACY LLC,72 GRAND AVENUE,NEW HAVEN,6513,2034983479,
PRICERITE OF WILLIMANTIC,60 CANTOR DRIVE,WILLIMANTIC,6226,8604501624,
C.O.N. MINI MARKET,190 W MAIN ST,STAMFORD,6902,2033248842,
LA GRAN MARKET DELI RESTAURANT,595 GRAND ST,BRIDGEPORT,6604,2039084933,
CVS #2143,3710 MAIN ST,BRIDGEPORT,6606,2033711279,
STOP & SHOP #680,77 CENTENNIAL AVE,MERIDEN,6451,2032381778,
BETTER VAL-U #2,657 NORWICH RD,PLAINFIELD,6374,8605647714,
STOP & SHOP #670,4531 MAIN ST,BRIDGEPORT,6606,2033716972,
GEISSLER'S SUPERMARKET,40 TUNXIS AVE,BLOOMFIELD,6002,8602424444,
STOP & SHOP #658,5 RIVER RD,WILTON,6897,2038340283,
BRAVO SUPERMARKET,1291 ALBANY AVE,HARTFORD,6112,8602788271,
